country_guess,dataset_folder,path,file_name,extension,size_bytes,size_mb,likely_role,readable_by_duckdb,notes
Peru,BaseR,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D-0127.rbf,CPVPER2017D-0127.rbf,.rbf,235055072,224.17,unknown,no,"Ext: .rbf, Name: CPVPER2017D-0127.RBF"
Argentina,BASE_AMP_DPTO,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV200011.rbf,CPV200011.rbf,.rbf,195294750,186.25,unknown,no,"Ext: .rbf, Name: CPV200011.RBF"
Brasil,BaseR,data/extracted/CP2010BRA/BaseR/CD2010_182.rbf,CD2010_182.rbf,.rbf,165083776,157.44,unknown,no,"Ext: .rbf, Name: CD2010_182.RBF"
Brasil,BaseR,data/extracted/CP2010BRA/BaseR/CD2010_188.rbf,CD2010_188.rbf,.rbf,165083776,157.44,unknown,no,"Ext: .rbf, Name: CD2010_188.RBF"
Brasil,BaseR,data/extracted/CP2010BRA/BaseR/PESSOA_RENDTOTSM.RBF,PESSOA_RENDTOTSM.RBF,.rbf,165083776,157.44,unknown,no,"Ext: .rbf, Name: PESSOA_RENDTOTSM.RBF"
Brasil,BaseR,data/extracted/CP2010BRA/BaseR/CD2010_183.rbf,CD2010_183.rbf,.rbf,165083776,157.44,unknown,no,"Ext: .rbf, Name: CD2010_183.RBF"
Brasil,BaseR,data/extracted/CP2010BRA/BaseR/PESSOA_RENDOUTS.RBF,PESSOA_RENDOUTS.RBF,.rbf,165083776,157.44,unknown,no,"Ext: .rbf, Name: PESSOA_RENDOUTS.RBF"
Brasil,BaseR,data/extracted/CP2010BRA/BaseR/PESSOA_RENDTOTTS.RBF,PESSOA_RENDTOTTS.RBF,.rbf,165083776,157.44,unknown,no,"Ext: .rbf, Name: PESSOA_RENDTOTTS.RBF"
Argentina,BASE_AMP_DPTO,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV200073.rbf,CPV200073.rbf,.rbf,136982360,130.64,unknown,no,"Ext: .rbf, Name: CPV200073.RBF"
Argentina,BASE_AMP_DPTO,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV200120.rbf,CPV200120.rbf,.rbf,102736770,97.98,unknown,no,"Ext: .rbf, Name: CPV200120.RBF"
Argentina,BASE_AMP_DPTO,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV200125.rbf,CPV200125.rbf,.rbf,85613975,81.65,unknown,no,"Ext: .rbf, Name: CPV200125.RBF"
Peru,Docs,data/extracted/CP2007PER/CP2007PER/Docs/CPV2007.mpg,CPV2007.mpg,.mpg,82039944,78.24,unknown,no,"Ext: .mpg, Name: CPV2007.MPG"
Brasil,BaseOriginal,data/extracted/Cp2000BRA/BaseOriginal/CD1020204.RBF,CD1020204.RBF,.rbf,81097656,77.34,unknown,no,"Ext: .rbf, Name: CD1020204.RBF"
Brasil,BaseOriginal,data/extracted/Cp2000BRA/BaseOriginal/CD1020189.RBF,CD1020189.RBF,.rbf,81097656,77.34,unknown,no,"Ext: .rbf, Name: CD1020189.RBF"
Brasil,BaseOriginal,data/extracted/Cp2000BRA/BaseOriginal/CD1020213.RBF,CD1020213.RBF,.rbf,81097656,77.34,unknown,no,"Ext: .rbf, Name: CD1020213.RBF"
Brasil,BaseOriginal,data/extracted/Cp2000BRA/BaseOriginal/CD1020202.RBF,CD1020202.RBF,.rbf,81097656,77.34,unknown,no,"Ext: .rbf, Name: CD1020202.RBF"
Brasil,BaseOriginal,data/extracted/Cp2000BRA/BaseOriginal/CD1020212.RBF,CD1020212.RBF,.rbf,81097656,77.34,unknown,no,"Ext: .rbf, Name: CD1020212.RBF"
Brasil,BaseOriginal,data/extracted/Cp2000BRA/BaseOriginal/CD1020208.RBF,CD1020208.RBF,.rbf,81097656,77.34,unknown,no,"Ext: .rbf, Name: CD1020208.RBF"
Brasil,BaseOriginal,data/extracted/Cp2000BRA/BaseOriginal/CD1020191.RBF,CD1020191.RBF,.rbf,81097656,77.34,unknown,no,"Ext: .rbf, Name: CD1020191.RBF"
Brasil,BaseOriginal,data/extracted/Cp2000BRA/BaseOriginal/CD1020184.RBF,CD1020184.RBF,.rbf,81097656,77.34,unknown,no,"Ext: .rbf, Name: CD1020184.RBF"
Brasil,BaseOriginal,data/extracted/Cp2000BRA/BaseOriginal/CD1020206.RBF,CD1020206.RBF,.rbf,81097656,77.34,unknown,no,"Ext: .rbf, Name: CD1020206.RBF"
Brasil,BaseOriginal,data/extracted/Cp2000BRA/BaseOriginal/CD1020210.RBF,CD1020210.RBF,.rbf,81097656,77.34,unknown,no,"Ext: .rbf, Name: CD1020210.RBF"
Brasil,BaseOriginal,data/extracted/Cp2000BRA/BaseOriginal/CD1020134.RBF,CD1020134.RBF,.rbf,81097656,77.34,unknown,no,"Ext: .rbf, Name: CD1020134.RBF"
Brasil,BaseOriginal,data/extracted/Cp2000BRA/BaseOriginal/CD1020172.RBF,CD1020172.RBF,.rbf,81097656,77.34,unknown,no,"Ext: .rbf, Name: CD1020172.RBF"
Brasil,BaseOriginal,data/extracted/Cp2000BRA/BaseOriginal/CD1020130.RBF,CD1020130.RBF,.rbf,81097656,77.34,unknown,no,"Ext: .rbf, Name: CD1020130.RBF"
Brasil,BaseOriginal,data/extracted/Cp2000BRA/BaseOriginal/CD1020185.RBF,CD1020185.RBF,.rbf,81097656,77.34,unknown,no,"Ext: .rbf, Name: CD1020185.RBF"
Brasil,BaseOriginal,data/extracted/Cp2000BRA/BaseOriginal/CD1020192.RBF,CD1020192.RBF,.rbf,81097656,77.34,unknown,no,"Ext: .rbf, Name: CD1020192.RBF"
Brasil,BaseOriginal,data/extracted/Cp2000BRA/BaseOriginal/CD1020190.RBF,CD1020190.RBF,.rbf,81097656,77.34,unknown,no,"Ext: .rbf, Name: CD1020190.RBF"
Peru,BaseR,data/extracted/CP2017PER/BaseD/BaseR/C5P7DI.rbf,C5P7DI.rbf,.rbf,73454712,70.05,unknown,no,"Ext: .rbf, Name: C5P7DI.RBF"
Brasil,BaseR,data/extracted/CP2010BRA/BaseR/PESSOA_RENDSM.RBF,PESSOA_RENDSM.RBF,.rbf,69644720,66.42,unknown,no,"Ext: .rbf, Name: PESSOA_RENDSM.RBF"
Peru,BasePub,data/extracted/CP2007PER/CP2007PER/BasePub/Peru0056.rbf,Peru0056.rbf,.rbf,68530396,65.36,unknown,no,"Ext: .rbf, Name: PERU0056.RBF"
Peru,BasePub,data/extracted/CP2007PER/CP2007PER/BasePub/P05CDI.rbf,P05CDI.rbf,.rbf,68530396,65.36,unknown,no,"Ext: .rbf, Name: P05CDI.RBF"
Peru,BasePub,data/extracted/CP2007PER/CP2007PER/BasePub/P07CDI.rbf,P07CDI.rbf,.rbf,68530396,65.36,unknown,no,"Ext: .rbf, Name: P07CDI.RBF"
Peru,BasePub,data/extracted/CP2007PER/CP2007PER/BasePub/Peru0058.rbf,Peru0058.rbf,.rbf,68530396,65.36,unknown,no,"Ext: .rbf, Name: PERU0058.RBF"
Peru,BasePub,data/extracted/CP2007PER/CP2007PER/BasePub/P06CDI.rbf,P06CDI.rbf,.rbf,68530396,65.36,unknown,no,"Ext: .rbf, Name: P06CDI.RBF"
Peru,BasePub,data/extracted/CP2007PER/CP2007PER/BasePub/Peru0054.rbf,Peru0054.rbf,.rbf,68530396,65.36,unknown,no,"Ext: .rbf, Name: PERU0054.RBF"
Brasil,BaseOriginal,data/extracted/Cp1991BRA/BaseOriginal/C1020131.BIN,C1020131.BIN,.bin,68182856,65.02,unknown,no,"Ext: .bin, Name: C1020131.BIN"
Brasil,BaseOriginal,data/extracted/Cp1991BRA/BaseOriginal/C1020129.BIN,C1020129.BIN,.bin,68182856,65.02,unknown,no,"Ext: .bin, Name: C1020129.BIN"
Brasil,BaseOriginal,data/extracted/Cp1991BRA/BaseOriginal/C1020133.BIN,C1020133.BIN,.bin,68182856,65.02,unknown,no,"Ext: .bin, Name: C1020133.BIN"
Brasil,BaseOriginal,data/extracted/Cp1991BRA/BaseOriginal/C1020127.BIN,C1020127.BIN,.bin,68182856,65.02,unknown,no,"Ext: .bin, Name: C1020127.BIN"
Brasil,BaseOriginal,data/extracted/Cp1991BRA/BaseOriginal/C1020136.BIN,C1020136.BIN,.bin,68182856,65.02,unknown,no,"Ext: .bin, Name: C1020136.BIN"
Peru,BaseR,data/extracted/CP2017PER/BaseD/BaseR/C5P5DI.rbf,C5P5DI.rbf,.rbf,66109240,63.05,unknown,no,"Ext: .rbf, Name: C5P5DI.RBF"
Peru,BaseR,data/extracted/CP2017PER/BaseD/BaseR/C5P6DI.rbf,C5P6DI.rbf,.rbf,66109240,63.05,unknown,no,"Ext: .rbf, Name: C5P6DI.RBF"
Peru,BaseR,data/extracted/CP2017PER/BaseD/BaseR/C5P15DI.rbf,C5P15DI.rbf,.rbf,66109240,63.05,unknown,no,"Ext: .rbf, Name: C5P15DI.RBF"
Brasil,Variables,data/extracted/Cp2000BRA/Celade/Variables/INDEDUBR00.RBF,INDEDUBR00.RBF,.rbf,63656532,60.71,unknown,no,"Ext: .rbf, Name: INDEDUBR00.RBF"
Brasil,BaseR,data/extracted/CP2010BRA/BaseR/CD2010_109.rbf,CD2010_109.rbf,.rbf,61906420,59.04,unknown,no,"Ext: .rbf, Name: CD2010_109.RBF"
Brasil,BaseR,data/extracted/CP2010BRA/BaseR/CD2010_147.rbf,CD2010_147.rbf,.rbf,61906420,59.04,unknown,no,"Ext: .rbf, Name: CD2010_147.RBF"
Brasil,BaseR,data/extracted/CP2010BRA/BaseR/CD2010_091.rbf,CD2010_091.rbf,.rbf,61906420,59.04,unknown,no,"Ext: .rbf, Name: CD2010_091.RBF"
Brasil,BaseR,data/extracted/CP2010BRA/BaseR/CD2010_087.rbf,CD2010_087.rbf,.rbf,61906420,59.04,unknown,no,"Ext: .rbf, Name: CD2010_087.RBF"
Brasil,BaseR,data/extracted/CP2010BRA/BaseR/CD2010_108.rbf,CD2010_108.rbf,.rbf,61906420,59.04,unknown,no,"Ext: .rbf, Name: CD2010_108.RBF"
Brasil,BaseR,data/extracted/CP2010BRA/BaseR/CD2010_089.rbf,CD2010_089.rbf,.rbf,61906420,59.04,unknown,no,"Ext: .rbf, Name: CD2010_089.RBF"
Brasil,BaseR,data/extracted/CP2010BRA/BaseR/CD2010_145.rbf,CD2010_145.rbf,.rbf,61906420,59.04,unknown,no,"Ext: .rbf, Name: CD2010_145.RBF"
Brasil,BaseR,data/extracted/CP2010BRA/BaseR/CD2010_093.rbf,CD2010_093.rbf,.rbf,61906420,59.04,unknown,no,"Ext: .rbf, Name: CD2010_093.RBF"
Brasil,BaseR,data/extracted/CP2010BRA/BaseR/CD2010_082.rbf,CD2010_082.rbf,.rbf,61906420,59.04,unknown,no,"Ext: .rbf, Name: CD2010_082.RBF"
Brasil,BaseR,data/extracted/CP2010BRA/BaseR/CD2010_146.rbf,CD2010_146.rbf,.rbf,61906420,59.04,unknown,no,"Ext: .rbf, Name: CD2010_146.RBF"
Brasil,BaseR,data/extracted/CP2010BRA/BaseR/CD2010_088.rbf,CD2010_088.rbf,.rbf,61906420,59.04,unknown,no,"Ext: .rbf, Name: CD2010_088.RBF"
Brasil,BaseR,data/extracted/CP2010BRA/BaseR/CD2010_110.rbf,CD2010_110.rbf,.rbf,61906420,59.04,unknown,no,"Ext: .rbf, Name: CD2010_110.RBF"
Brasil,BaseR,data/extracted/CP2010BRA/BaseR/CD2010_134.rbf,CD2010_134.rbf,.rbf,61906420,59.04,unknown,no,"Ext: .rbf, Name: CD2010_134.RBF"
