name,label,typeName,alias,country,dataset,dictionary,entity,theme_hits
DPTO,Departamento / Partido,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,DPTO,geografia
IDDPTO,Departamento,string,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,DPTO,geografia
NOMDPTO,Departamento / Partido,string,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,DPTO,geografia
ALGUNBI,Al menos un indicador NBI,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
CODPUEBLO,Pueblo al que pertenece,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;geografia;entidad
EXPH,Expansor,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;ponderador;entidad
H05M,Alguna persona descendiente de indigenas,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
H05P,Total de Personas descendiente de indigenas,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
H06M,Alguna persona es afrodescendiente,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
H06P,Total de Personas afrodescendientes,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
H0705,Material predominante de los pisos,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
H08A,Material predominante de las paredes exteriores,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
H09A,Revestimiento externo de las paredes exteriores,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
H1006,Material predominante de la cubierta exterior del techo,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
H1107,Revestimiento interior o cielorraso del techo,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
H12A,Tenencia de Electricidad,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
H1308,Tenencia de agua,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
H1409,Procedencia del agua para beber y cocinar,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
H1510,Tiene baño / letrina,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
H1611,"Tiene botón, cadena, mochila para limpieza del inodoro",integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
H1712,Desagüe del inodoro,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
H1813,Baño / letrina de uso exclusivo,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
H19A,Instalación de Agua en Cocina,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
H2014,Combustible usado principalmente para cocinar,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
H2115,Total de habitaciones o piezas para dormir,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
H2216,Total de habitaciones o piezas,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
H23,Antiguedad de la vivienda,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;edad;entidad
H2417,Propiedad de la vivienda,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;edad;entidad
H2518,Propiedad del terreno,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;edad;entidad
H26,La vivienda esta totalmente paga,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
H27,La vivienda esta escriturada,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
H2819,El hogar tiene,string,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
H2819A,Heladera,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
H2819B,Computadora,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
H2819C,Teléfono celular,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
H2819D,Teléfono de línea,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
INCALCONS,Calidad constructiva de la vivienda,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
INCALSERV,Calidad de Conexiones a Servicios Básicos,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
INDHAC,Hacinamiento,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
INMAT,Calidad de los materiales,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
NBI1,NBI Vivienda,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
NBI2,NBI Condiciones sanitarias,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
NBI3,NBI Hacinamiento,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
NBI4,NBI Asistencia escolar,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,escolaridad;vivienda;entidad
NBI5,NBI Capacidad de subsistencia,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
NHOG,hogar-numero,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
PROP,Régimen de tenencia,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
TIPOHOGAR,Tipo de Hogar,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
TOTPERS,Total de Personas en el Hogar,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
V01,Tipo de vivienda,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,HOGAR,vivienda;entidad
ACT2CIFR,Código de actividad 2 cifras,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,PERSONA,geografia;entidad
ACT4CIFR,Código de actividad,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,PERSONA,geografia;entidad
ACTLETRA,Código de actividad letra,string,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,PERSONA,geografia;entidad
CARACTER,Carácter ocupacional,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,PERSONA,entidad
CLAVE1P,Clave1,string,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,PERSONA,entidad
CODOCUP,Código de ocupación,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,PERSONA,geografia;entidad
CONDACT,Condición de actividad,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,PERSONA,entidad
EDADAGRU,Edad en grandes grupos,integer,,argentina,CP2010ARG,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx,PERSONA,edad;entidad
