name,label,typeName,alias,country,dataset,dictionary,entity,theme_hits
APOND,Área de Ponderação,integer,V0011,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,APOND,geografia;ponderador
APONDNOME,Nome das Áreas de Ponderação,string,,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,APOND,geografia;ponderador
APONDTIPO,Tipo das Áreas de Ponderação,integer,,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,APOND,geografia;ponderador
IDAPOND,Identificação de Área de Ponderação,string,,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,APOND,geografia;ponderador
AGUA,Abastecimento de água,integer,V0208,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,DOMICIL,vivienda
DENSICOM,Densidade de moradores por cômodo,integer,V6203,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,DOMICIL,edad;entidad
DENSIDOR,Densidade de moradores por dormitório,integer,V6204,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,DOMICIL,edad;entidad
DPESO,Peso Amostral,real,,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,DOMICIL,ponderador
ESPECIE,Espécie de Unidade Visitada,integer,V4001,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,DOMICIL,edad
ESPECIED,Espécie da Unidade Doméstica,integer,V6600,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,DOMICIL,edad
MORADOR,Quantos moradores,integer,V0401,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,DOMICIL,entidad
PAREDES,Paredes externas,integer,V0202,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,DOMICIL,vivienda
PESO,Peso Amostral,real,V0010,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,DOMICIL,ponderador
RESPONSA,Responsabilidade pelo domicílio,integer,V0402,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,DOMICIL,vivienda;edad
SITUACAO,Situação do domicílio,integer,V1006,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,DOMICIL,vivienda
EMSEXO,Sexo do emigrante,integer,V0303,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,EMIGRA,sexo
FAMILIA,Número da família,integer,F5020,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,FAMILIA,entidad
NUMPES,Número de Pessoas na Família,integer,F5060,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,FAMILIA,entidad
PERCAPITA,Rendimento familiar per capita em julho de 2010,real,F5070,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,FAMILIA,entidad
PERCPTSM,Rendimento familiar per capita em nº de salários mínimos em julho de 2010,real,F5080,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,FAMILIA,entidad
MOIDANO,"Idade ao falecer, em anos",integer,V7051,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,MORT,edad
MOIDMES,"Idade ao falecer, em meses",integer,V7052,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,MORT,edad
MOSEXO,Sexo,integer,V0704,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,MORT,sexo
MESOCOD,Código das Mesorregiões,integer,,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,MUNIC,geografia
MICROCOD,Código das Microregiões,integer,,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,MUNIC,geografia
UFMUNIC,Composição de UF e MUNIC,integer,,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,MUNIC,geografia
AJUDA,Trabalhou em ajuda a morador sem pagamento,integer,V0643,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
APOSENT,Tinha rendimento mensal de aposentadoria,integer,V0656,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
AQUI,Nasceu neste município,integer,V0618,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
AQUIUF,Nasceu nesta Unidade da Federação,integer,V0619,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,edad;geografia;entidad
ATIV,Atividade,integer,V6471,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,edad;entidad
ATIV2000,Qual era a atividade principal do empreendimento em que tinha esse trabalho? - código 2000,integer,V6472,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,edad;geografia;entidad
BOLSAFAM,Tinha rendimento mensal de Programa Social Bolsa-Família ou PETI,integer,V0657,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
CAMINHAR,Dificuldade permanente de Caminhar ou subir degraus,integer,V0616,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
CATEMP,Subgrupo e categoria do emprego,integer,V6940,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,edad;entidad
CONDATIV,Condição de atividade,integer,V6900,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,edad;entidad
CONDOCUP,Condição de ocupação,integer,V6910,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
COR,Cor ou Raça,integer,V0606,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
CURSO,Curso que frequenta,integer,V0629,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,escolaridad;entidad
CURSOCONC,Conclusão deste curso,integer,V0634,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,escolaridad;entidad
