name,label,typeName,alias,country,dataset,dictionary,entity,theme_hits
AREA,Código de Area,integer,URBRUR,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,AREA,geografia
IDAREA,Código de Area,string,,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,AREA,geografia
CENSO,Identification code,string,,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,CENSO16R,geografia
IDCOMUNA,Código Comuna,string,,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,COMUNA,geografia
NCOMUNA,Comunas,string,,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,COMUNA,geografia
REDCODEN,División Comunal,integer,,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,COMUNA,geografia
IDDIST,Distrito Censal,string,,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,DISTRITO,geografia
NDISTRITO,Distritos,string,,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,DISTRITO,geografia
NHOGAR,Número del hogar,integer,,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,HOGAR,vivienda;entidad
TIPO_HOGAR,Tipo de hogar,integer,,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,HOGAR,vivienda;entidad
ESCOLARIDAD,Años de escolaridad,integer,,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,PERSONA,escolaridad;edad;entidad
P07,Relación de parentesco,integer,PARENTES,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,PERSONA,entidad
P08,Sexo,integer,SEXO,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,PERSONA,sexo;entidad
P09,Edad,integer,EDAD,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,PERSONA,edad;entidad
P10,Residencia habitual,integer,LUGRES,chile,CP2017CHL,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx,PERSONA,entidad
