country,dataset,entity,name,label,typeName,tema_detectado
argentina,CP2010ARG,DPTO,DPTO,Departamento / Partido,integer,sin_clasificar
argentina,CP2010ARG,DPTO,IDDPTO,Departamento,string,sin_clasificar
argentina,CP2010ARG,DPTO,NOMDPTO,Departamento / Partido,string,sin_clasificar
argentina,CP2010ARG,FRAC,IDFRAC,Fraccion,string,sin_clasificar
argentina,CP2010ARG,HOGAR,ALGUNBI,Al menos un indicador NBI,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,CODPUEBLO,Pueblo al que pertenece,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,EXPH,Expansor,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H05M,Alguna persona descendiente de indigenas,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H05P,Total de Personas descendiente de indigenas,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H06M,Alguna persona es afrodescendiente,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H06P,Total de Personas afrodescendientes,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H0705,Material predominante de los pisos,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H08A,Material predominante de las paredes exteriores,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H09A,Revestimiento externo de las paredes exteriores,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H1006,Material predominante de la cubierta exterior del techo,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H1107,Revestimiento interior o cielorraso del techo,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H12A,Tenencia de Electricidad,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H1308,Tenencia de agua,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H1409,Procedencia del agua para beber y cocinar,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H1510,Tiene baño / letrina,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H1611,"Tiene botón, cadena, mochila para limpieza del inodoro",integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H1712,Desagüe del inodoro,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H1813,Baño / letrina de uso exclusivo,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H19A,Instalación de Agua en Cocina,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H2014,Combustible usado principalmente para cocinar,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H2115,Total de habitaciones o piezas para dormir,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H2216,Total de habitaciones o piezas,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H23,Antiguedad de la vivienda,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H2417,Propiedad de la vivienda,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H2518,Propiedad del terreno,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H26,La vivienda esta totalmente paga,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H27,La vivienda esta escriturada,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H2819,El hogar tiene,string,sin_clasificar
argentina,CP2010ARG,HOGAR,H2819A,Heladera,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H2819B,Computadora,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H2819C,Teléfono celular,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,H2819D,Teléfono de línea,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,INCALCONS,Calidad constructiva de la vivienda,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,INCALSERV,Calidad de Conexiones a Servicios Básicos,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,INDHAC,Hacinamiento,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,INMAT,Calidad de los materiales,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,NBI1,NBI Vivienda,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,NBI2,NBI Condiciones sanitarias,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,NBI3,NBI Hacinamiento,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,NBI4,NBI Asistencia escolar,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,NBI5,NBI Capacidad de subsistencia,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,NHOG,hogar-numero,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,PROP,Régimen de tenencia,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,TIPOHOGAR,Tipo de Hogar,integer,sin_clasificar
argentina,CP2010ARG,HOGAR,TOTPERS,Total de Personas en el Hogar,integer,sin_clasificar
