"name","label","typeName","alias","country","dataset","dictionary","entity"
"IDPROV","Provincia","string","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PROV"
"NOMPROV","Provincia","string","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PROV"
"PROV","Provincia","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PROV"
"IDDPTO","Departamento","string","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","DPTO"
"NOMDPTO","Departamento / Partido","string","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","DPTO"
"DPTO","Departamento / Partido","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","DPTO"
"IDFRAC","Fraccion","string","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","FRAC"
"IDRADIO","Radio","string","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","RADIO"
"IDSEG","Segmento","string","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","SEG"
"TIPVV","Tipo de vivienda agrupado","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"V01","Tipo de vivienda particular","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"V02","Condición de ocupación","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"V03","Cantidad de hogares","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"V00","Tipo de vivienda colectiva","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"V00O","Otros tipo de vivienda colectiva","string","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"URP","Area Urbano - Rural","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"CODMUNI","Código de Municipio","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"CODLOC","Código de Localidad","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"CODENT","Código de Entidad","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"CODAGLO","Código de Aglomerado","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"CC1","Inundaciones en últimos cinco años","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"CC2","Basural permanente a 300 metros","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"CC3","Servicio de cloacas","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"CC4","Servicio de agua de red","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"CC5","Servicio de gas de red","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"CC6","Servicio de energía electrica por red domiciliaria","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"CC7","Servicio regular de recolección de residuos","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"CC8","Transporte público a 300 metros","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"CC9","Teléfono público a 300 metros","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"CC10","Ubicado en Villa de emergencia o asentamiento","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"CC11","Ubicado en barrio plan o monoblock","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"CC12","Ubicado en country o barrio cerrado","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"CC13","Existencia de al menos de una cuadra pavimentada","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"CC14","Existencia de al menos una boca de tormenta","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"CC15","Existencia de alumbrado público","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"EXPV","Expansor","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"INCALSERV","Calidad de Conexiones a Servicios Básicos","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"INMAT","Calidad de los materiales","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"ENTIDAD","Barrio / Entidad","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"INCALCONS","Calidad constructiva de la vivienda","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"TOTHOG","Cantidad de Hogares en la Vivienda","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"V01C","Casa tipo B","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"MUNI","Municipio","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"LOCAL","Localidad","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA"
"NHOG","hogar-numero","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H0705","Material predominante de los pisos","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H1006","Material predominante de la cubierta exterior del techo","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H1107","Revestimiento interior o cielorraso del techo","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H1308","Tenencia de agua","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H1409","Procedencia del agua para beber y cocinar","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H1510","Tiene baño / letrina","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H1611","Tiene botón, cadena, mochila para limpieza del inodoro","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H1712","Desagüe del inodoro","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H1813","Baño / letrina de uso exclusivo","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H2014","Combustible usado principalmente para cocinar","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H2115","Total de habitaciones o piezas para dormir","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H2216","Total de habitaciones o piezas","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H2417","Propiedad de la vivienda","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H2518","Propiedad del terreno","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H2819","El hogar tiene","string","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
