"name","label","typeName","alias","country","dataset","dictionary","entity","theme_hits"
"IDPROV","Provincia","string","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PROV","geografia"
"NOMPROV","Provincia","string","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PROV","geografia"
"PROV","Provincia","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PROV","geografia"
"IDDPTO","Departamento","string","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","DPTO","geografia"
"NOMDPTO","Departamento / Partido","string","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","DPTO","geografia"
"DPTO","Departamento / Partido","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","DPTO","geografia"
"TIPVV","Tipo de vivienda agrupado","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA","vivienda;entidad"
"V01","Tipo de vivienda particular","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA","vivienda;entidad"
"V02","Condición de ocupación","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA","vivienda;entidad"
"V03","Cantidad de hogares","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA","vivienda;entidad"
"V00","Tipo de vivienda colectiva","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","VIVIENDA","vivienda;entidad"
