country,dataset,entity,name,label,typeName,dimension
argentina,CP2010ARG,HOGAR,H23,Antiguedad de la vivienda,integer,edad
argentina,CP2010ARG,HOGAR,H2417,Propiedad de la vivienda,integer,edad
argentina,CP2010ARG,HOGAR,H2518,Propiedad del terreno,integer,edad
argentina,CP2010ARG,PERSONA,EDADAGRU,Edad en grandes grupos,integer,edad
argentina,CP2010ARG,PERSONA,EDADQUI,Edades quinquenales,integer,edad
argentina,CP2010ARG,PERSONA,P03,Edad,integer,edad
argentina,CP2010ARG,PERSONA,P09M,Donde viviá hace 5 años,integer,edad
argentina,CP2010ARG,PERSONA,P09N,Donde viviá hace 5 años-Nombre,integer,edad
argentina,CP2010ARG,PERSONA,P10,En que municipio vivia hace 5 años,integer,edad
argentina,CP2010ARG,PERSONA,P2715,"La semana pasada, estuvo de licencia por vacaciones o enfermedad",integer,edad
argentina,CP2010ARG,VIVIENDA,CC1,Inundaciones en últimos cinco años,integer,edad
argentina,CP2010ARG,DPTO,DPTO,Departamento / Partido,integer,geografia
argentina,CP2010ARG,DPTO,IDDPTO,Departamento,string,geografia
argentina,CP2010ARG,DPTO,NOMDPTO,Departamento / Partido,string,geografia
argentina,CP2010ARG,PERSONA,P08M,Que Provincia Nació,integer,geografia
argentina,CP2010ARG,PERSONA,P08N,Que Provincia Nació-Nombre,integer,geografia
argentina,CP2010ARG,PERSONA,P12,En que municipio vive habitualmente,integer,geografia
argentina,CP2010ARG,PROV,IDPROV,Provincia,string,geografia
argentina,CP2010ARG,PROV,NOMPROV,Provincia,string,geografia
argentina,CP2010ARG,PROV,PROV,Provincia,integer,geografia
argentina,CP2010ARG,VIVIENDA,CODLOC,Código de Localidad,integer,geografia
argentina,CP2010ARG,VIVIENDA,CODMUNI,Código de Municipio,integer,geografia
argentina,CP2010ARG,VIVIENDA,LOCAL,Localidad,integer,geografia
argentina,CP2010ARG,VIVIENDA,MUNI,Municipio,integer,geografia
argentina,CP2010ARG,VIVIENDA,URP,Area Urbano - Rural,integer,geografia
argentina,CP2010ARG,HOGAR,EXPH,Expansor,integer,ponderador
argentina,CP2010ARG,VIVIENDA,EXPV,Expansor,integer,ponderador
argentina,CP2010ARG,PERSONA,P02,Sexo,integer,sexo
brasil,CP2010BRA,DOMICIL,DENSICOM,Densidade de moradores por cômodo,integer,edad
brasil,CP2010BRA,DOMICIL,DENSIDOR,Densidade de moradores por dormitório,integer,edad
brasil,CP2010BRA,DOMICIL,ESPECIE,Espécie de Unidade Visitada,integer,edad
brasil,CP2010BRA,DOMICIL,ESPECIED,Espécie da Unidade Doméstica,integer,edad
brasil,CP2010BRA,DOMICIL,RESPONSA,Responsabilidade pelo domicílio,integer,edad
brasil,CP2010BRA,MORT,MOIDANO,"Idade ao falecer, em anos",integer,edad
brasil,CP2010BRA,MORT,MOIDMES,"Idade ao falecer, em meses",integer,edad
brasil,CP2010BRA,PESSOA,AQUIUF,Nasceu nesta Unidade da Federação,integer,edad
brasil,CP2010BRA,PESSOA,ATIV,Atividade,integer,edad
brasil,CP2010BRA,PESSOA,ATIV2000,Qual era a atividade principal do empreendimento em que tinha esse trabalho? - código 2000,integer,edad
brasil,CP2010BRA,PESSOA,CONDATIV,Condição de atividade,integer,edad
brasil,CP2010BRA,PESSOA,FIVIID,Idade do último filho nascido vivo,integer,edad
brasil,CP2010BRA,PESSOA,IDADE,Idade em anos,integer,edad
brasil,CP2010BRA,PESSOA,IDADEAM,Idade em anos e meses,integer,edad
brasil,CP2010BRA,PESSOA,IDADEF,Forma de declaração da idade,integer,edad
brasil,CP2010BRA,PESSOA,IDADEM,Idade em meses,integer,edad
brasil,CP2010BRA,PESSOA,NACION,Nacionalidade,integer,edad
brasil,CP2010BRA,PESSOA,NASCUF,Unidade da Federação de Nascimento,integer,edad
brasil,CP2010BRA,UF,IDUF,Identificação da Unidade da Federação,string,edad
