country,dataset,entity,name,label,typeName,tema,subtema
argentina,CP2010ARG,HOGAR,H1308,Tenencia de agua,integer,vivienda,agua
argentina,CP2010ARG,HOGAR,H1409,Procedencia del agua para beber y cocinar,integer,vivienda,agua
argentina,CP2010ARG,HOGAR,H19A,Instalación de Agua en Cocina,integer,vivienda,agua
argentina,CP2010ARG,VIVIENDA,CC4,Servicio de agua de red,integer,vivienda,agua
argentina,CP2010ARG,HOGAR,H12A,Tenencia de Electricidad,integer,vivienda,electricidad
argentina,CP2010ARG,VIVIENDA,CC6,Servicio de energía electrica por red domiciliaria,integer,vivienda,electricidad
argentina,CP2010ARG,HOGAR,H2115,Total de habitaciones o piezas para dormir,integer,vivienda,hacinamiento
argentina,CP2010ARG,HOGAR,H2216,Total de habitaciones o piezas,integer,vivienda,hacinamiento
argentina,CP2010ARG,HOGAR,INDHAC,Hacinamiento,integer,vivienda,hacinamiento
argentina,CP2010ARG,HOGAR,NBI3,NBI Hacinamiento,integer,vivienda,hacinamiento
argentina,CP2010ARG,HOGAR,H0705,Material predominante de los pisos,integer,vivienda,materialidad
argentina,CP2010ARG,HOGAR,H08A,Material predominante de las paredes exteriores,integer,vivienda,materialidad
argentina,CP2010ARG,HOGAR,H09A,Revestimiento externo de las paredes exteriores,integer,vivienda,materialidad
argentina,CP2010ARG,HOGAR,H1006,Material predominante de la cubierta exterior del techo,integer,vivienda,materialidad
argentina,CP2010ARG,HOGAR,H1107,Revestimiento interior o cielorraso del techo,integer,vivienda,materialidad
argentina,CP2010ARG,HOGAR,INCALCONS,Calidad constructiva de la vivienda,integer,vivienda,materialidad
argentina,CP2010ARG,HOGAR,INCALSERV,Calidad de Conexiones a Servicios Básicos,integer,vivienda,materialidad
argentina,CP2010ARG,HOGAR,INMAT,Calidad de los materiales,integer,vivienda,materialidad
argentina,CP2010ARG,VIVIENDA,CODLOC,Código de Localidad,integer,vivienda,materialidad
argentina,CP2010ARG,VIVIENDA,INCALCONS,Calidad constructiva de la vivienda,integer,vivienda,materialidad
argentina,CP2010ARG,VIVIENDA,INCALSERV,Calidad de Conexiones a Servicios Básicos,integer,vivienda,materialidad
argentina,CP2010ARG,VIVIENDA,INMAT,Calidad de los materiales,integer,vivienda,materialidad
argentina,CP2010ARG,VIVIENDA,LOCAL,Localidad,integer,vivienda,materialidad
argentina,CP2010ARG,HOGAR,ALGUNBI,Al menos un indicador NBI,integer,vivienda,nbi
argentina,CP2010ARG,HOGAR,NBI1,NBI Vivienda,integer,vivienda,nbi
argentina,CP2010ARG,HOGAR,NBI2,NBI Condiciones sanitarias,integer,vivienda,nbi
argentina,CP2010ARG,HOGAR,NBI4,NBI Asistencia escolar,integer,vivienda,nbi
argentina,CP2010ARG,HOGAR,NBI5,NBI Capacidad de subsistencia,integer,vivienda,nbi
argentina,CP2010ARG,HOGAR,H1510,Tiene baño / letrina,integer,vivienda,saneamiento
argentina,CP2010ARG,HOGAR,H1611,"Tiene botón, cadena, mochila para limpieza del inodoro",integer,vivienda,saneamiento
argentina,CP2010ARG,HOGAR,H1712,Desagüe del inodoro,integer,vivienda,saneamiento
