country,theme_hits,n_hits
argentina,vivienda;entidad,76
argentina,entidad,35
argentina,escolaridad;entidad,11
argentina,vivienda;geografia;entidad,9
argentina,geografia;entidad,7
argentina,vivienda;edad;entidad,6
argentina,geografia,6
argentina,edad;entidad,4
argentina,vivienda;ponderador;entidad,2
argentina,vivienda;edad;geografia;entidad,1
argentina,sexo;entidad,1
argentina,escolaridad;vivienda;entidad,1
brasil,entidad,80
brasil,escolaridad;entidad,14
brasil,geografia;entidad,13
brasil,vivienda;entidad,12
brasil,edad;entidad,11
brasil,escolaridad;edad;entidad,6
brasil,geografia,5
brasil,edad,4
brasil,geografia;ponderador,4
brasil,vivienda,3
brasil,vivienda;sexo;entidad,3
brasil,edad;geografia;entidad,3
brasil,escolaridad;geografia;entidad,3
brasil,sexo,2
brasil,sexo;entidad,2
brasil,edad;geografia,2
brasil,ponderador,2
brasil,vivienda;edad;entidad,1
brasil,vivienda;edad,1
brasil,ponderador;entidad,1
chile,geografia,15
chile,entidad,14
chile,vivienda;entidad,14
chile,edad;entidad,6
chile,geografia;entidad,5
chile,escolaridad;entidad,4
chile,sexo;entidad,1
chile,escolaridad;edad;entidad,1
chile,edad;geografia,1
peru,vivienda;entidad,51
peru,entidad,27
peru,vivienda;geografia;entidad,12
peru,geografia;entidad,10
peru,geografia,6
peru,edad;entidad,6
peru,escolaridad;entidad,6
peru,vivienda;edad;geografia;entidad,4
peru,vivienda;sexo;entidad,2
peru,edad;geografia;entidad,1
peru,sexo;entidad,1
peru,ponderador;entidad,1
